"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","76","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","53","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","52","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","962","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Game/Mods/PYModMenu/Mats/DisplayNameWalls.DisplayNameWalls","0","30","2","1","38.319126","0","156"
"/Game/Mods/PYModMenu/Mats/EntityWalls.EntityWalls","0","56","7","1","44.739159","0","718"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Game/Mods/PYTracker/DummyMaterial.DummyMaterial","0","56","6","1","41.669792","0","287"
"/Game/Mods/PYModMenu/Mats/ColorWheel.ColorWheel","0","9","9","1","2.511799","0","14"
"/Game/Mods/PYModMenu/GiucaColorWheel/Thumb.Thumb","0","9","9","1","2.455511","0","14"
"/Game/Mods/PYModMenu/GiucaColorWheel/color.color","0","29","3","1","11.716729","0","100"
"/Game/Mods/PYModMenu/GiucaColorWheel/colorbar.colorbar","0","9","9","1","2.805892","0","16"
"/Game/Hospital/Materials/Mat_Base_04.Mat_Base_04","0","42","10","1","27.336422","0","172"
"/Game/Mods/PYInsanityMod/PYIns_Walls.PYIns_Walls","0","84","8","1","61.728210","0","534"
"/Game/Unlit_Black.Unlit_Black","0","12","12","1","8.640586","0","22"
